datetime,wma_9,wma_20,wma_55,hma_21,hma_55,stoch_k_14_3_3,stoch_d_14_3_3,atr_14
2024-06-25 17:00:00+00:00,2328.3393333333333,2328.235190476191,2328.5612727272724,2328.833552669553,2328.796601551226,28.315782649471345,36.25756472900629,5.473105895990085
2024-06-25 18:00:00+00:00,2327.5584444444444,2327.830095238095,2328.3050584415587,2328.290812121212,2328.7330306895483,39.122066652161045,32.81354590884033,5.945741189133662
2024-06-25 19:00:00+00:00,2325.4648888888887,2326.814904761905,2327.8257987012985,2326.946973160173,2328.3568029615885,31.972279385484736,33.13670956237235,6.199616818481258
2024-06-25 20:00:00+00:00,2323.7911111111107,2325.9925714285714,2327.423331168831,2325.251276190476,2327.7755659915483,23.19056093220566,31.428302323283788,5.991072760018293
2024-06-25 21:00:00+00:00,2322.3748888888886,2325.2543333333333,2327.0551168831175,2323.3393044733043,2327.0636117724866,14.945190674695462,23.369343664128593,5.76028184858843
2024-06-25 22:00:00+00:00,2321.381777777778,2324.6307619047616,2326.7366038961045,2321.463003174603,2326.287316601388,18.07935772734288,18.738369778081307,5.477404573689269
2024-06-25 23:00:00+00:00,2320.660222222222,2324.0252857142864,2326.4336363636357,2319.818256854257,2325.456548744245,18.6042921105452,17.20961350419449,5.231161389854336
2024-06-26 01:00:00+00:00,2320.4166666666665,2323.585333333333,2326.2042597402597,2318.7083318903315,2324.6357360080397,20.812104369306702,19.165251402398237,5.023935576293306
2024-06-26 02:00:00+00:00,2320.1077777777778,2323.1023333333333,2325.975487012987,2318.0039070707066,2323.836527743421,21.028253821213955,20.148216767021925,4.85579732084379
2024-06-26 03:00:00+00:00,2319.6099999999997,2322.499857142857,2325.703532467532,2317.473435497835,2323.044510874047,19.36081519221847,20.40039112757968,4.931097512212081
2024-06-26 04:00:00+00:00,2318.204222222222,2321.3997142857147,2325.242298701299,2316.595396825396,2322.1180068456674,14.367122973323205,18.252063995585186,5.302447689911226
2024-06-26 05:00:00+00:00,2318.3722222222223,2320.9936190476187,2325.0250909090914,2316.1413604617605,2321.2736609376075,22.316099301421435,18.68134582232101,5.583701426346122
2024-06-26 06:00:00+00:00,2318.0497777777778,2320.397523809524,2324.7302272727266,2315.847022799423,2320.453241651206,30.32089972759408,22.33470733411288,5.4984370387499615
2024-06-26 07:00:00+00:00,2317.692888888889,2319.8126666666667,2324.422811688312,2315.6516675324674,2319.6610225984336,39.04264185345823,30.559880294157892,5.282120107410697
2024-06-26 08:00:00+00:00,2316.4448888888887,2318.815142857143,2323.949941558442,2315.13188051948,2318.7820029633062,26.99933985476829,32.12096047860684,5.35768295688134
2024-06-26 09:00:00+00:00,2316.3877777777775,2318.386142857143,2323.665396103895,2314.8757148629147,2317.9857303992308,30.74174749817534,32.261243068800596,5.517848459961271
2024-06-26 10:00:00+00:00,2316.1644444444446,2317.9291904761903,2323.3446753246762,2314.6638210678207,2317.247926544355,34.15684502850251,30.632644127148684,5.436573569964045
2024-06-26 11:00:00+00:00,2315.966,2317.5267142857147,2323.0135649350655,2314.5102782106783,2316.5597211485597,45.56060478554886,36.819732437408874,5.411818314966624
2024-06-26 12:00:00+00:00,2315.989333333334,2317.252952380952,2322.7072337662335,2314.5103082251085,2315.9260916134126,45.06437768240471,41.59394249881867,5.218831292469011
2024-06-26 13:00:00+00:00,2314.4573333333333,2316.2536666666674,2322.1178441558445,2313.940083694084,2315.140541718202,31.073125811916043,40.566036093289846,5.466057628721212
2024-06-26 14:00:00+00:00,2313.9735555555553,2315.787761904762,2321.707331168831,2313.36629033189,2314.3724858276646,31.729084405783635,35.95552930003477,5.757767798098281
2024-06-26 15:00:00+00:00,2313.048666666667,2315.1109523809528,2321.2001493506496,2312.541021067821,2313.5569971569435,25.829245294280245,29.543818503993283,5.895070098234107
2024-06-26 16:00:00+00:00,2309.507111111111,2313.182571428572,2320.2075779220786,2310.3697073593075,2312.3391410018553,27.552809468931486,28.370379722998432,6.75470794836023
2024-06-26 17:00:00+00:00,2306.6564444444443,2311.468380952381,2319.275116883117,2307.479912842713,2310.859219147255,17.154285101192592,23.512113288134746,6.696514523477361
2024-06-26 18:00:00+00:00,2304.6535555555556,2310.1062857142856,2318.453909090909,2304.5768946608946,2309.2842748745966,14.911016794152678,19.872703788092227,6.793906343229006
2024-06-26 19:00:00+00:00,2302.9655555555555,2308.8044285714286,2317.6361363636365,2301.7822464646465,2307.676369219405,19.383278457038312,17.149526784127833,6.575055890141221
2024-06-26 20:00:00+00:00,2302.0895555555558,2307.8119047619048,2316.9185454545454,2299.6044894660895,2306.1583889919607,26.071089565411494,20.121794938867467,6.36398046941684
2024-06-26 21:00:00+00:00,2300.915111111111,2306.6153809523807,2316.1116948051945,2297.9015012987015,2304.670228483818,25.588312294389223,23.680893438946317,6.161553293029938
2024-06-26 22:00:00+00:00,2300.0793333333336,2305.499761904762,2315.313266233767,2296.603299278499,2303.2616042053187,25.006736728644146,25.555379529481595,5.9028709149564005
2024-06-26 23:00:00+00:00,2299.331555555555,2304.4256666666665,2314.509545454545,2295.6464005772004,2301.9557542431116,19.76556184316866,23.453536955400647,5.6148087067452215
2024-06-27 01:00:00+00:00,2298.956888888889,2303.467619047619,2313.731272727273,2295.017056854257,2300.738008340205,18.862840204796758,21.211712925536492,5.287322370549148
2024-06-27 02:00:00+00:00,2298.8779999999997,2302.594619047619,2312.977792207793,2294.750877922078,2299.600863000756,18.49905685798999,19.04248630198511,5.041799344081346
2024-06-27 03:00:00+00:00,2298.875111111111,2301.8809523809523,2312.2657207792213,2294.940625685426,2298.5616587816944,19.99928781559672,19.12039495946113,4.844527962361264
2024-06-27 04:00:00+00:00,2298.5964444444444,2301.139523809524,2311.5313506493508,2295.2681217893214,2297.5868618068444,19.573048798920098,19.35713115750224,4.709918822192605
