n,ic,ic_p,spread_usd_per_oz,spread_atr,nw_t,monotonicity,net_usd_per_oz,pays_costs,decile_means_usd,timeframe,feature,horizon,fdr_significant,skipped
1443432,-0.0323637204321551,0.0,-0.04389617857340742,-0.0520701895707507,-1.5843634145555237,-0.309090909090909,-0.3338961785734075,False,"[0.06477976223466148, 0.025580180542180916, 0.013959388401239016, -0.0014297887670337627, 0.009465786356110239, 0.016755921658826643, 0.017329555295372442, 0.013527569747060632, 0.005588494073144592, 0.020883583661254056]",M5,ret_12,6,True,
1443420,-0.03277177632154459,0.0,-0.06203447368056382,-0.06648204648658104,-1.9965551377760218,-0.32121212121212117,-0.35203447368056384,False,"[0.07926521733106084, 0.019484488229344114, 0.0027269956076544236, 0.008868104917487577, 0.014749414584805396, 0.019734173005778115, 0.012197142896731185, 0.006828365964168331, 0.005375704923029859, 0.017230743650497028]",M5,ret_24,6,True,
1443444,-0.014270859065424786,6.691996095061335e-66,0.0513378364335447,0.02406878347366985,2.1173036109821974,0.8424242424242423,-0.23866216356645534,False,"[-0.011637950743011521, 0.0088700604112396, 0.0030376738901512924, -0.0008618241019777567, -0.001525314526408879, 0.01773714182785545, 0.02773126883508251, 0.04553275508507474, 0.05783766557667781, 0.039699885690533177]",M5,intraday_ret,6,True,
1409250,-0.01691868885788679,9.801923944101789e-90,-0.015401530437813088,0.010866462852664967,-1.2463501862345217,-0.7575757575757575,-0.30540153043781315,False,"[0.02190375158770175, 0.033113761832451065, 0.02054360311475945, 0.03163904919718879, 0.018895762916465123, 0.020423873512388523, 0.0233813942355079, 0.0072682607035567505, 0.002930213412253497, 0.006502221149888664]",M5,body_ratio,6,True,
1409250,-0.003567183281065352,2.2887893967224204e-05,0.007522686024291179,-0.014758875860417497,-0.28267327761494865,-0.06666666666666667,-0.28247731397570885,False,"[0.012001312755011621, 0.021085526549206302, 0.02174121201804388, 0.03434018344198373, 0.005648728109421344, 0.025895996821297364, 0.014628103865505414, 0.019601904275396233, 0.0195239987793028]",M5,upper_wick,6,True,
1409250,0.0025837784914713234,0.0021603571656060565,0.019981438858898234,0.018363339758393667,0.9228493334970812,0.19999999999999998,-0.2700185611411018,False,"[0.007680097636778352, 0.030156744483077192, 0.023561183230474708, 0.023534383024351447, 0.013102025077833344, 0.012752245413397117, 0.026601436622517675, 0.01370094266684566, 0.027661536495676587]",M5,lower_wick,6,True,
1409250,-0.011727559268153179,4.626528732978298e-44,0.012273140052189178,0.047242888625141456,1.2260764030278386,-0.41818181818181815,-0.2777268599478109,False,"[0.005738384053344631, 0.04376369960249877, 0.028074985454184586, 0.023187788729696027, 0.016702307140748527, 0.020774354823690593, 0.01909984458054448, 0.016058004129973484, -0.004874474909173621, 0.01801152410553381]",M5,close_pos,6,True,
1443349,-0.0034914383703827153,2.7334825978781465e-05,0.0028478193092452003,-0.00042451284202068423,0.12198567608346234,0.41818181818181815,-0.2871521806907548,False,"[0.05376097273703564, -0.0009188346554891423, 0.00860089375411376, 0.004559808778189599, 0.012216701291469333, 0.011436141504342419, 0.0032192468909132263, 0.014144940589600688, 0.022561471576541182, 0.05660879204628084]",M5,signed_vol,6,True,
1443349,-0.0011863104992774572,0.15409179557463404,-0.07080611078394003,-0.06200393742102953,-2.5386731586381175,-0.34545454545454546,-0.3608061107839401,False,"[0.10058315723836912, 0.012392420410850084, 0.00973741642706177, 0.006927495063567144, 0.0052797311809334516, 0.01752636246483829, 0.002329164790244964, 0.008436484567153194, -0.006569647001767164, 0.029777046454429097]",M5,vol_z,6,False,
1443444,0.0007308786121524016,0.37988843507098313,-0.04121784613252973,-0.06605934791166708,-1.0328131653613952,-0.5878787878787878,-0.33121784613252975,False,"[0.04193432401537989, 0.008679889707920073, 0.020510793659590996, 0.012167376770930376, 0.027519536662417788, 0.02828687025439227, 0.03230724999133997, 0.007152704650002794, 0.007145915313418087, 0.0007164778828501532]",M5,atr_pct,6,False,
1443349,-0.004943094531171348,2.8739925207379113e-09,0.008701908753940786,-0.050497358774207135,0.38643795017028265,-0.29696969696969694,-0.28129809124605926,False,"[0.043781272733571255, 0.04876641147330865, 0.023180309696192943, 0.029371046523712207, 0.0012443274327085775, 0.005787686892901023, -0.005039318252675925, -0.02344081477119216, 0.010285447050264726, 0.05248318148751204]",M5,atr_ratio,6,True,
1290560,0.001692527184317074,0.054510439922038925,-0.0037432587403911782,-0.0066005736163984655,-0.20168826463479606,-0.01818181818181818,-0.2937432587403912,False,"[0.031893519092486375, 0.013862509298289907, 0.03285519464418515, 0.004871147200570448, 0.005511534020906424, 0.013199823329769397, 0.036766417418929546, 0.010938042400197951, 0.01965759050334737, 0.028150260352095197]",M5,range_expansion,6,False,
1443337,-0.0015592551566359684,0.061030770268892434,0.01911988859173827,-0.04442499036391114,0.853016597741832,-0.23636363636363633,-0.27088011140826174,False,"[0.041818351878282645, 0.019657530450205334, 0.014296314772089543, 0.007652597447587039, 0.03670167805229509, -0.000515474631580928, -0.0014225338451091057, 0.01774680772934797, -0.010426164313328816, 0.060938240470020916]",M5,rv_ratio,6,False,
1443444,-0.02225614062194233,1.5064066259233355e-157,0.011994734836676332,-0.01872569968474757,0.5149526225304859,0.5272727272727272,-0.2780052651633237,False,"[0.024777858602653136, 0.03290105581111802, -0.021200396275563867, -0.01081589247982269, -0.0017343983816439825, 0.017885052374882384, 0.03680113616682231, 0.040200008313473645, 0.030834118494706995, 0.03677259343932947]",M5,dist_vwap,6,True,
1443342,-0.01446446471573526,1.2030051924877307e-67,0.039241833235182044,0.023651846598579915,1.9663362956846235,0.5393939393939393,-0.250758166764818,False,"[0.016371566148196876, 0.006709229980462033, 6.117754652396786e-05, -0.0009571549323098829, 0.001333642800726133, 0.029233513932961107, -0.015931450663045566, 0.04626574473097125, 0.047717862735045295, 0.05561339938337892]",M5,dist_pdh,6,True,
1443342,-0.009601341765094857,8.765452064639546e-31,0.061412339349430134,0.05953166994819119,2.7679594317082756,0.8666666666666665,-0.2285876606505699,False,"[-0.0216139536494959, 0.014537669571964822, -0.011168401069740994, 0.020760804799977946, 0.018228622500588862, 0.02088419914919566, 0.018156705973644268, 0.041374520210068336, 0.045459351227015235, 0.039798385699934234]",M5,dist_pdl,6,True,
1443257,0.0020784862866155044,0.012524783914909809,0.028560223685695278,0.011949071356036591,1.687809313781964,0.5393939393939393,-0.26143977631430476,False,"[0.01142183082977653, 0.008220500356606571, 0.010959773143269408, 0.016347373015817495, 0.0083635431390482, 0.019749592932617445, 0.025391266992780197, 0.007516611755585626, 0.03849223854509159, 0.03998205451547181]",M5,efficiency_ratio,6,True,
1443444,-0.020994925433768387,2.0369821166904747e-140,-0.02722455833889463,-0.026920005341688855,-3.256129450591215,-0.8214285714285715,-0.3172245583388947,False,"[0.03896590103254042, 0.015287134446482149, 0.012251265340081585, 0.01350764716466677, 0.00870600371605603, 0.011111249750449654, 0.01174134269364579]",M5,streak,6,True,
